"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
5200050,"GO",8053,"Abadia de Goiás",31013565.62,31432720.98,2270366.35,1394805.67,384017.75,491542.93,803045.86,0,24393331.91,23764681.91,10132878.09,7894295.04,7843889.51,50405.53,0,1151496.2,190158.05,685203.39,11496.4,7112754.55,6921291.35,6252807.89,597208.96,45198.21,26076.29,0,0,628650
5200100,"GO",18427,"Abadiânia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200134,"GO",21905,"Acreúna",60777969.13,61201423.56,3074603.51,632243.65,1330390.1,1111969.76,2238646.8,0,45753551.3,44680969.48,22584197.34,16907916.01,15687577.87,1220338.14,0,3656785.66,651302.46,977963.82,20955.84,13852075.77,13092958.67,11378768.5,1570662.93,84275.88,59251.36,0,0,1069756.82
5200159,"GO",2561,"Adelândia",11349031.72,12677934.31,351028.57,60937.48,82302.56,207788.53,37911.51,0,12109747.38,11781397.38,8899215.15,7874175.76,7843788.98,30386.78,0,629175.8,197128.72,70772.37,3289.08,2101135.66,1958140.11,1782647.33,142767.82,12939.07,19785.89,0,0,328350
5200175,"GO",5560,"Água Fria de Goiás",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200209,"GO",1980,"Água Limpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200258,"GO",191499,"Águas Lindas de Goiás",343860907.3,257479470.71,22882632.29,6394532.25,7860821.8,8627278.24,8067744.57,0,198390643.15,198343820.24,103825379.03,74541505.11,74531982.89,9522.22,0,18764717.69,1803940.91,7904715.27,18312.48,17378792.43,12371605.47,9896208.25,2023971.75,72044.09,379381.38,0,0,18784.41
5200308,"GO",26457,"Alexânia",60337411.86,66697571.16,4984846.63,1968197.63,1694023.59,1322625.41,2926558.21,0,54338346.87,53470453.37,26269305.47,18418602.29,18302174.27,116428.02,0,4010593.77,655868.38,1881369.56,24954,15279955.87,15279955.87,13928926.41,1189278.58,91730.52,70020.36,0,0,867893.5
5200506,"GO",2075,"Aloândia",10778610.91,12520064.45,178564.11,20972.74,89759.54,67831.83,81743.69,0,11292689.42,11170814.42,9044246.17,7883442.99,7843788.98,39654.01,0,657882.1,251073.61,125324.56,3484.56,1995788.26,1995788.26,1888494.46,93585.47,13708.33,0,0,0,121875
5200555,"GO",5629,"Alto Horizonte",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200605,"GO",7454,"Alto Paraíso de Goiás",24135610.15,26698902.76,1559307.51,600734.08,125484.28,833089.15,392496.09,0,21333313.75,20352139.67,11097123.36,8097191.94,7843788.98,253402.96,0,1548780.49,225823.15,378303.68,9102.72,5692277.99,5262126.85,4931796.01,269012.6,35809.88,25508.36,0,0,955459.62
5200803,"GO",8598,"Alvorada do Norte",28180346.94,29294954.89,825905.5,6939,408467.83,410498.67,910965.88,0,24970908.96,21927554.82,12327504.83,7966168.42,7843788.98,122379.44,0,3476778.27,236874.05,482291.28,8124.6,4953857.03,4806804.75,4399616.44,348338.72,31961.99,26887.6,0,0,3043354.14
5200829,"GO",3723,"Amaralina",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200852,"GO",5969,"Americano do Brasil",18123236.81,19522631.05,290328.52,60921.97,139823.05,89583.5,179380.93,0,18489624.09,18489624.09,13352526.76,7693641.85,7680767.41,12874.44,0,1135203.45,165863.8,186399.09,4304.64,3365943.91,2968617.06,2644363.71,283556.62,16934.33,23762.4,0,0,0
5200902,"GO",3447,"Amorinópolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201108,"GO",370875,"Anápolis",1006914385.98,970089439.19,107495966.25,53651571.4,36170292.77,17674102.08,52815948.84,0,627236596.74,625851973.51,230395485.8,74715501.25,74531982.89,183518.36,0,136708740.73,3378869.96,9764667.77,404920.8,274813079.47,269372133.78,219055329.98,48131232.77,1593092.37,592478.66,0,0,1302740.05
5201207,"GO",1115,"Anhanguera",10562386.56,11397860.57,140709.65,8689.21,131663.9,356.54,35980.14,0,10622486.44,10605986.44,8576723.42,7847777.34,7843788.98,3988.36,0,306382.31,172464.56,39791.28,2743.2,1668555.14,1567340.89,1486926.13,51565.55,10791.47,18057.74,0,0,16500
5201306,"GO",21614,"Anicuns",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201405,"GO",532135,"Aparecida de Goiânia",1001947571.29,956391259.9,130268464.66,87210823.34,24140283.94,18917357.38,63923993.92,0,628667975.56,627880651.69,264791234.47,71710614.9,71657299.93,53314.97,0,172229833.18,1168848.65,11839652.28,342279.84,236632561.28,227869922.04,184633214.98,41247414.78,1214110.74,775181.54,0,0,749898.42
