"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
2700102,"AL",20422,"Água Branca",43964243.35,47540258.05,285747.82,15287.25,266426.57,4034,612409.8,0,45515353.96,45515353.96,23341058.25,17994741.03,17988174.32,6566.71,0,3791368.03,453011.45,932850.28,14852.4,3992910.83,3376740.6,3061084.02,281723.32,1999.65,31933.61,0,0,0
2700201,"AL",17832,"Anadia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700300,"AL",232671,"Arapiraca",550216143.69,536311848.67,15821960.07,4340623.91,7755445.15,3704204.49,18478911.52,0,453345163.03,450490000.38,250548715.9,106315718.86,106294032.34,21686.52,0,130954279.42,4495878.2,6718428.4,233279.95,92754044.73,68671217.7,53207522.24,15429521.61,34173.85,0,0,0,2855162.65
2700409,"AL",47528,"Atalaia",93637654.09,93468171.7,614771.26,46725.63,308316.93,259728.7,942384.42,0,85560276.84,85560276.84,44860827.63,30020059.27,29980290.47,39768.8,0,11590758.73,1023557.31,1897595.34,32780.88,9547823.69,8155531.04,7188081.55,901197.42,4620.26,61631.81,0,0,0
2700508,"AL",15909,"Barra de Santo Antônio",40140186.62,40937421.76,206297.78,199684.14,0,5154.96,31586.37,0,35647651.04,35647651.04,19644846.14,14996324.91,14990107.75,6217.16,0,3193862.62,308155.68,950742.56,12263.64,3436549.8,2794736.58,2570948.18,196426.43,1628.97,25733,0,0,0
2700607,"AL",8336,"Barra de São Miguel",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700706,"AL",18631,"Batalha",44363111.96,47388138.21,1266339.79,61204.3,1154707.29,50428.2,667303.65,0,43159608.61,43153608.61,25588586.42,17973240.75,17970174.32,3066.43,0,5807199.81,431061.03,1192670.42,16142.64,4416336.78,3674814.61,3316669.9,323184.46,4322.13,30638.12,0,0,6000
2700805,"AL",4517,"Belém",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700904,"AL",6786,"Belo Monte",21639871.82,22861259.9,59531.01,133,57396.03,2001.98,95902.75,0,21492849.03,21200349.03,11462706.74,8997771.66,8994087.14,3684.52,0,1308885.49,221132.51,572176.31,14807.28,3319130.59,3118877.8,3038729.65,64418.58,1987.46,13742.11,0,0,292500
2701001,"AL",27498,"Boca da Mata",64831523.26,68331368.72,724431.64,189230,634.99,534566.65,106583.17,0,58995701.6,58537652.1,30127163.01,21021133.6,20986203.27,34930.33,0,6479806.17,793856.86,1194978.99,44008.2,10442829.35,10344593.72,9917305.81,357902.61,6190.17,39471.45,23723.68,33475.82,458049.5
