"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
1200013,"AC",14120,"Acrelândia",26953521.95,28164353.72,201474.13,85741.61,93381.87,22350.65,272503.35,0,25918663.14,25153410.83,13104677.52,9395202.8,9375819.09,19383.71,0,2406723.76,250975.95,795799.95,5769.72,3663058.1,3663058.1,3202676.48,394097.81,715.52,65568.29,0,0,765252.31
1200054,"AC",6863,"Assis Brasil",16210343.86,16877755.61,132256.78,84839.29,34301.93,13115.56,243231.42,0,16445292.73,16445292.73,7557500.21,5625905.07,5625491.48,413.59,0,1836374.8,33558.33,0,6678.03,3748128.49,3748128.49,3646212.74,101762.71,153.04,0,0,0,0
1200104,"AC",24311,"Brasiléia",45662795.73,47191112.25,245112.26,63084.74,0,182027.52,970478.66,0,45099361.88,45099361.88,20018092.58,12783918.89,12764476.96,19441.93,0,5075396.86,857993.88,787136.89,20193.84,12177460.35,12177460.35,11209367.69,869933.71,2263.74,95895.21,0,0,0
1200138,"AC",9503,"Bujari",20783400.39,20745231.84,73237.64,8007.16,19657.12,45573.36,206932.33,0,19624194.01,17017630.48,7998848.73,5659102.8,5625491.48,33611.32,0,1968738.39,174364.3,130087.73,6036,3568300.88,3568300.88,3350492.34,176218.67,748.5,40841.37,0,0,2606563.53
1200179,"AC",10820,"Capixaba",21977821.69,22771041.12,460771.83,43707.77,319766.75,97297.31,619702.52,0,21469234.41,21469234.41,10159893.57,7515572.13,7500655.29,14916.84,0,1559606.62,306206.79,703986.65,5814,3437156.35,3437156.35,3227312.44,160010.68,720.98,49112.25,0,0,0
1200203,"AC",82075,"Cruzeiro do Sul",142750314.97,141350834.33,2778587.6,1273112.91,1139015.52,366459.17,5496063.82,0,117868213.24,117868213.24,51211971.71,26257069.72,26252293.47,4776.25,0,19920846.4,1681616.11,3046535.46,43228.08,26786192.79,26786192.79,23995437.63,2540415.64,6776.81,243562.71,0,0,0
1200252,"AC",17038,"Epitaciolândia",28000458.94,29338244.14,0,0,0,0,962823.91,0,27488627.7,27070799.89,14758450.63,9397916.17,9375838.86,22077.31,0,4308250.45,393876.97,578377.91,6568.56,4440652.24,4440652.24,3646124.01,662685.51,6422.79,69779.16,55640.77,0,417827.81
1200302,"AC",32372,"Feijó",46103063.14,50199354.79,326119.02,0,326119.02,0,1604824.77,0,46692548.5,46692548.5,22192678.38,15019088.1,15001310.57,17777.53,0,4909537.01,994621.43,1136979.05,13270.2,7710374.46,7710374.46,7366194,344180.46,0,0,0,0,0
1200328,"AC",7685,"Jordão",22768759.02,23605449.11,6456.95,5038.95,0,1418,389533.54,0,22932049.45,22791300.6,9370972.19,5707890.27,5707062.83,827.44,0,2610827.55,360396.2,484206.02,6213.48,3494635.13,3494635.13,3449419.83,6315.42,770.53,38129.35,0,0,140748.85
1200336,"AC",17545,"Mâncio Lima",35931525.21,37675037.83,265608.35,1686.44,263349.41,572.5,554731.25,0,36392388.32,35955915.87,17174941.35,11252276.74,11250982.93,1293.81,0,3477397.45,478899.56,1856286.53,8787.6,5177901.39,5177901.39,4877922.66,221571.94,1379.14,77027.65,0,0,436472.45
