"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
3200102,"ES",32407,"Afonso Cláudio",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200169,"ES",11958,"Água Doce do Norte",30996141.88,33144615.56,1150125.94,131419.08,920000.36,98706.5,282786.91,0,30286515.68,29042621.24,15928661.58,10790067.34,10767476.24,22591.1,0,2360193.47,120748.9,750650.69,58107.72,7488954.78,7351143.42,6685948.12,428914.78,204926.63,31353.89,0,0,1243894.44
3200136,"ES",10075,"Águia Branca",35146656.51,34339690.85,487344.13,46363.05,371391.54,69589.54,637507.65,0,28690480.61,27447369.97,12374067.34,8170418.93,8156856.31,13562.62,0,1953014.18,57167.71,756991.07,80432.88,9903796.19,9176955.2,8489693.26,405825.18,257040.87,24395.89,0,0,1243110.64
3200201,"ES",32175,"Alegre",76490809.67,76750535.49,2021460.1,682196.8,1000356.3,338907,2465757.45,0,57654115.52,55543221.74,32181150.1,21753607.23,21714358.14,39249.09,0,6055058.88,246881.33,1549032.76,113063.28,15615268.57,13650531.41,11203942.81,1290997.87,346781.22,69653.59,739155.92,0,2110893.78
3200300,"ES",15029,"Alfredo Chaves",42365153.78,46978191.69,726311.16,292420.55,259117.8,174772.81,2377073.66,0,39732634.21,39732634.21,19641043.09,13601800.2,13571473.86,30326.34,0,2504652.31,587703.73,849997.07,98099.04,13530716.71,11857897.9,10348193.51,1163582.02,307011.59,39110.78,0,0,0
3200359,"ES",7979,"Alto Rio Novo",21398745.35,23559951.83,289330.11,26376.5,200322.11,62631.5,244233.76,0,20741449.6,20741449.6,11502918.53,8146361.56,8142884.31,3477.25,0,1411114.85,75826.23,513573.32,0,5612460.72,4023176.38,3639318.01,266325.46,117532.91,0,0,0,0
3200409,"ES",28091,"Anchieta",264607418.82,296633950.99,9539886.35,3712813.83,4724406.21,1102666.31,16342793.26,0,224106248.52,223907915.65,33652204.31,18605644.45,18551627.48,54016.97,0,5836289.73,206086.39,2467488.94,1563764.4,170844273.58,170548047.9,154752961.11,1525240.26,4047244.13,60359.82,10162242.58,0,198332.87
3200508,"ES",7928,"Apiacá",21281685.89,23471340.74,412888,101317.67,255594.63,55975.7,228332.66,0,21666178.82,21666178.82,12059621.38,8149442.06,8142884.31,6557.75,0,1711991.77,243635.87,398408.66,39904.68,5997225.1,4935812.3,4209389.77,576362.02,127493.08,22567.43,0,0,0
3200607,"ES",96746,"Aracruz",394696780.26,392746429.36,14214067.97,5190088.22,7167343.2,1856636.55,62057923.9,0,239295421.67,236802808.96,91858961.38,40951262.26,40714421.56,236840.7,0,18787184.77,791507.66,5994298.99,798924.84,94333164.46,92687757.19,79108517.42,5713106.23,2552517.55,118707.57,5194908.42,0,2492612.71
3200706,"ES",11335,"Atilio Vivacqua",33768953.65,36898500.43,525761.9,130267.86,317478.44,78015.6,721137.29,0,33686135.81,33128722.26,15761654.61,10870109.9,10857179.09,12930.81,0,2127571.69,151027.03,941689.14,74197.8,10270621.53,8512479.43,7340768.08,421649.92,237057.46,30582.19,482421.78,0,557413.55
3200805,"ES",31633,"Baixo Guandu",74077787.52,79211232.22,1025282.78,426589.62,584647.53,14045.63,1754543.57,0,65542380.12,65432104.75,32430471.7,21804466.23,21714358.14,90108.09,0,5525739.76,230274.78,1702034.25,139042.8,18875695.63,18221069.93,14665454.72,1742641.99,444233.73,0,1368739.49,0,75275.37
3200904,"ES",44946,"Barra de São Francisco",98348832.1,107123319.06,4003653.64,1084429.17,2360620.43,558604.04,3246927.38,0,85619790.33,85502054.48,41605104.37,27186804.05,27142947.72,43856.33,0,7197482.91,0,2690983.24,195158.76,25547933.7,23781937.83,20587322.45,2385628.74,718295.64,90691,0,0,117735.85
3201001,"ES",15390,"Boa Esperança",47274217.36,44222236.85,693343.47,109622.31,382858.37,200862.79,629048.14,0,37223451.78,36398008.32,19729274.57,13699833.61,13571473.86,128359.75,0,2994265.33,258654.69,883201.03,75236.88,9879412.42,8752165.54,7446626.96,584504.58,192314.1,39401.85,489318.05,0,825443.46
3201100,"ES",10215,"Bom Jesus do Norte",23242232.69,23678703.3,348967.07,115421.05,144345.98,89200.04,389029.35,0,22219409.38,22219409.38,11985419.75,8146027.17,8142884.31,3142.86,0,1621896.52,216611.24,514871.94,35124.48,6940968.77,5258605.53,3702904.78,1418996.44,112220.24,24484.07,0,0,0
3201159,"ES",12797,"Brejetuba",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201209,"ES",210325,"Cachoeiro de Itapemirim",406469100.09,419324623.65,28117245.34,14073162.06,7380710.31,6663372.97,31182364.89,0,273259227.06,273192442.06,107108846.6,71096742.78,70965937.72,130805.06,0,19055213.66,1096720.98,9260379.09,692512.44,95589182.46,89202651.99,73323063.86,13624161.47,1948028.44,307398.22,0,0,66785
3201308,"ES",384621,"Cariacica",568747865.32,580218716.83,29737319.58,11053162.07,13935715.87,4748441.64,53410941.16,0,406032263.52,405766469.65,123365496.69,70996724.59,70965937.72,30786.87,0,23554528.7,4124135.91,16694830.83,1147051.56,150296545.4,141930832.29,113555495.86,16786197.8,3664761.91,464030.4,7460346.32,0,0
3201407,"ES",38070,"Castelo",84651932.11,92742126.02,3210279.45,975426.63,1323983.08,910869.74,2623549.89,0,80313946.93,79052382.94,37631598.42,24470023.74,24428998.03,41025.71,0,7776130.49,507624.25,2030875.39,176037.84,23768525,21916711.52,18566989.23,2732121.16,537937.43,79663.7,0,0,1261563.99
3201506,"ES",123598,"Colatina",313507733.27,304451835.88,9265780.78,3598520.98,2767924.66,2899335.14,20894718.09,0,222115938.13,221945444.05,110956301.97,46187118.45,46143011.08,44107.37,0,51447040.21,900951.21,7084443.57,437496.6,60973165.56,55464056.13,43175470.41,7853349.65,1397775.44,194112.49,2843348.14,0,40494.08
3201605,"ES",31353,"Conceição da Barra",,,,,,,,,,,,,,,,,,,,,,,,,,,,
