"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
4100103,"PR",7795,"Abatiá",18351821.91,20162653.23,969650.9,199453.49,370617.51,399579.9,191202.79,0,16748731.83,16748731.83,10735992.84,9035736.4,8967521.63,68214.77,0,1186343.57,64971.38,331628.62,22226.49,3759998.44,3424486.22,2934887.61,430523.01,39767.22,19308.38,0,0,0
4100202,"PR",6293,"Adrianópolis",23597728.07,26990787.56,339579.43,62645.84,164950.23,111983.36,3056876.31,0,22873382.44,22873382.44,12045045.16,9210179.64,8967521.63,242658.01,0,1784877.05,89192.56,238727.58,58589.04,8606761.52,8330829.99,7739478.46,457318.23,116041.41,17991.89,0,0,0
4100301,"PR",9073,"Agudos do Sul",19225931.62,20898537.51,343430.96,65825.03,207551.31,70054.62,361230.79,0,19543403.03,19543403.03,11041761.26,8993274.43,8967521.64,25752.79,0,1111535.45,269237.39,525437.13,29432.43,5314576.71,4712771.76,3888020.72,751579.79,52863.47,20307.78,0,0,0
4100400,"PR",114129,"Almirante Tamandaré",168297024.65,173191696.81,8892286.99,3037138.71,2778527.36,3076620.92,5220962.87,0,124324569.82,123338819.83,59133707.4,47869417.36,47826782.04,42635.32,0,4826304.05,1093294.17,4248919.64,150814.92,31404072.11,29426636.05,19915005.18,9072619.46,273372.28,165639.13,0,0,985749.99
4100459,"PR",3143,"Altamira do Paraná",19812203.03,17911010.01,278058.22,65090.21,100938.29,112029.72,153678.16,0,16270414.15,16228124.8,10915981.84,9140537.96,8967521.63,173016.33,0,1243611.28,233354.18,179170.32,22677.93,3930196.57,3271206.25,2994945.45,220206.75,40673.83,15380.22,0,0,42289.35
4128625,"PR",3037,"Alto Paraíso",22534955.86,25165541.04,1322050,98677.77,718178.42,505193.81,176447.05,185.4,23039501.93,23033198.93,11031860.67,9775608.05,8972913.61,802694.44,0,575175.57,162741.04,273760.47,71967.15,10467131.56,9898912.03,9506753.16,247460.84,129589.45,15108.58,0,0,0
4100608,"PR",14606,"Alto Paraná",33519442.31,37318104.28,1398130.68,555392.09,524280.17,318458.42,1509121.09,0,31777779.28,31629766.67,18211353.91,15415532.52,14954844.35,460688.17,0,1451384.72,250433.65,835829.71,49482.39,8026630,7885565,6532744.03,1231085.34,88277.05,33458.58,0,0,148012.61
4100707,"PR",10253,"Alto Piquiri",30067149.76,32218009.05,995910.65,245229.87,474262.3,276418.48,618183.98,0,26881192.47,26756435.86,14951461.02,12431612.09,11953725.5,477886.59,0,1360820.1,352666.79,608782.55,48159.87,7485059.59,7340579.56,6361684.25,866956.39,86324.93,25613.99,0,0,124756.61
4100509,"PR",21867,"Altônia",48001090.45,52522101.72,2966665,723443.26,1443488.11,799733.63,792571.32,0,46074117.24,45811859.22,24251468.15,18237100.01,17935043.29,302056.72,0,4451006.33,362619.8,869632.59,88113.84,14802983.72,13694825.87,11636433.38,1856452.51,157966.39,43973.59,0,0,262258.02
4100806,"PR",11148,"Alvorada do Sul",32126890.46,35682270.02,1944087.58,1088151.69,502461.78,353474.11,643412.56,0,28999647.72,26601405.72,15669490.05,11535373.8,11135168.93,400204.87,0,1590556.16,135325.05,447578.4,51355.47,7914237.06,7914237.06,6784301.23,1011204.36,92515.35,26216.12,0,0,2398242
